 -0.885000000000000     
  0.000000E+00  8.340322-101 -7.020142-101 -3.556446-101 -4.780314-100  3.991812-100  1.854698-100  7.405457-100
  5.665495-100  1.516939E-99  1.794631E-99 -7.579645-101  1.354136E-99  1.165281E-99  2.197855E-99  2.186509E-99
  2.356618E-99  3.929148E-99  4.221404E-99  8.013846E-99  7.051070E-99  7.841269E-99  7.339193E-99  1.055886E-98
  1.244546E-98  1.300710E-98  1.141633E-98  1.853219E-98  1.865301E-98  1.382544E-98  1.953126E-98  2.208843E-98
  3.071466E-98  3.301601E-98  2.876748E-98  3.914181E-98  4.575096E-98  3.831998E-98  4.150228E-98  4.678340E-98
  4.663051E-98  6.451759E-98  5.779502E-98  6.741024E-98  6.492685E-98  6.932905E-98  7.599294E-98  7.840871E-98
  8.682297E-98  1.035265E-97  1.015377E-97  1.135230E-97  1.200911E-97  1.255913E-97  1.353861E-97  1.467969E-97
  1.417291E-97  1.645044E-97  1.586042E-97  1.667509E-97  1.949069E-97  1.860768E-97  1.952002E-97  2.179349E-97
  2.360742E-97  2.484655E-97  2.648169E-97  2.756218E-97  2.780950E-97  2.975956E-97  2.798707E-97  3.203978E-97
  3.492340E-97  3.498871E-97  3.731298E-97  3.801621E-97  3.878296E-97  3.998415E-97  4.052641E-97  4.474847E-97
  4.657819E-97  4.857314E-97  5.066957E-97  5.072855E-97  5.497309E-97  5.537876E-97  5.912399E-97  5.719475E-97
  5.982657E-97  6.337727E-97  6.644683E-97  6.517421E-97  6.996384E-97  7.359044E-97  7.040054E-97  7.529025E-97
  7.903466E-97  8.235854E-97  8.354787E-97  8.903609E-97  8.699236E-97  9.217623E-97  9.302771E-97  9.970922E-97
  1.004635E-96  1.049434E-96  1.060007E-96  1.071363E-96  1.082465E-96  1.156236E-96  1.195541E-96  1.177809E-96
  1.262110E-96  1.277934E-96  1.295253E-96  1.350456E-96  1.354900E-96  1.444667E-96  1.456174E-96  1.494864E-96
  1.536805E-96  1.552619E-96  1.594552E-96  1.592074E-96  1.663102E-96  1.734774E-96  1.705057E-96  1.733950E-96
 -0.875000000000000     
  0.000000E+00  9.819295E-98 -6.451476E-98 -1.089390E-97 -7.195169E-97  2.126435E-97 -4.342747E-98  2.153464E-97
 -1.952491E-97  8.039417E-97  7.277800E-97 -2.298276E-96 -8.684831E-97 -1.435485E-96 -1.350417E-96 -1.654320E-96
 -3.322157E-96 -2.079354E-96 -3.663660E-96  1.126501E-96 -2.263708E-96 -4.091304E-96 -5.392073E-96 -2.894627E-96
