 -0.885000000000000     
  1.608232-141  1.864895-146  7.680513-146  1.304802-145  2.702765-145  4.624874-145  5.481873-145  7.412591-145
  9.726936-145  1.427768-144  1.509402-144  1.780918-144  2.176468-144  2.584639-144  2.999569-144  3.100059-144
  3.939342-144  4.314067-144  4.811440-144  5.061581-144  5.776493-144  6.535913-144  6.653332-144  7.317895-144
  7.811956-144  8.918544-144  9.314042-144  9.761327-144  1.055234-143  1.114379-143  1.168137-143  1.264932-143
  1.271349-143  1.408765-143  1.479414-143  1.506831-143  1.602458-143  1.663435-143  1.770744-143  1.795128-143
  1.882698-143  1.992477-143  2.022133-143  2.125433-143  2.154477-143  2.304667-143  2.284750-143  2.378434-143
  2.498663-143  2.591962-143  2.651453-143  2.670238-143  2.791181-143  2.850368-143  2.894379-143  2.963847-143
  3.025554-143  3.149002-143  3.189369-143  3.219999-143  3.322611-143  3.382616-143  3.474308-143  3.430907-143
  3.566045-143  3.693594-143  3.655431-143  3.760029-143  3.754606-143  3.885353-143  3.870892-143  3.888965-143
  4.021692-143  4.019054-143  4.132264-143  4.092708-143  4.182253-143  4.230627-143  4.227224-143  4.298258-143
  4.297411-143  4.410553-143  4.395161-143  4.432076-143  4.411925-143  4.513161-143  4.537627-143  4.501858-143
  4.557273-143  4.586656-143  4.624823-143  4.597104-143  4.636770-143  4.627182-143  4.633168-143  4.614294-143
  4.651153-143  4.684480-143  4.740421-143  4.637370-143  4.672748-143  4.663376-143  4.674444-143  4.694859-143
  4.592107-143  4.717987-143  4.629367-143  4.636070-143  4.620959-143  4.658089-143  4.575774-143  4.542005-143
  4.569928-143  4.540208-143  4.541770-143  4.468257-143  4.502264-143  4.464569-143  4.394494-143  4.367121-143
  4.384562-143  4.351021-143  4.310757-143  4.286312-143  4.238712-143  4.260361-143  4.150516-143  4.139191-143
  4.095915-143  4.108860-143  4.041453-143  3.974857-143  3.995841-143  3.910942-143  3.890607-143  3.816409-143
  3.808040-143  3.790378-143  3.690349-143  3.660203-143  3.636265-143  3.596739-143  3.566289-143  3.475101-143
  3.464327-143  3.425349-143  3.388541-143  3.327381-143  3.300657-143  3.260058-143  3.197912-143  3.148193-143
  3.107683-143  3.071890-143  3.049241-143  2.968004-143  2.943672-143  2.912405-143  2.857151-143  2.804745-143
  2.779164-143  2.767688-143  2.679448-143  2.673363-143  2.610169-143  2.600185-143  2.527365-143  2.520782-143
  2.474585-143  2.433956-143  2.424997-143  2.360708-143  2.329868-143  2.302278-143  2.278382-143  2.214527-143
  2.210595-143  2.177612-143  2.155048-143  2.111974-143  2.086083-143  2.067277-143  2.024958-143  2.005812-143
  1.976680-143  1.955356-143  1.926141-143  1.905441-143  1.876874-143  1.857418-143  1.820564-143  1.813324-143
  1.792458-143  1.767854-143  1.754890-143  1.726764-143  1.716382-143  1.690772-143  1.678388-143  1.656770-143
  1.640687-143  1.630719-143  1.618713-143  1.592751-143  1.584116-143  1.579204-143  1.551605-143  1.551206-143
  1.538145-143  1.532304-143  1.517036-143  1.502124-143  1.495843-143  1.490106-143  1.483703-143  1.465003-143
  1.466841-143  1.466232-143  1.451641-143  1.452142-143  1.444776-143  1.449718-143  1.433468-143  1.435079-143
  1.428315-143  1.437510-143  1.433524-143  1.426007-143  1.429730-143  1.433454-143  1.428465-143  1.423726-143
  1.437258-143  1.434393-143  1.441673-143  1.426636-143  1.444056-143  1.444222-143  1.448570-143  1.455685-143
  1.456791-143  1.465894-143  1.470775-143  1.474224-143  1.485644-143  1.489169-143  1.495596-143  1.500271-143
  1.512620-143  1.520662-143  1.529550-143  1.537939-143  1.549616-143  1.558996-143  1.565484-143  1.572320-143
 -0.875000000000000     
  2.474435-137  3.592545-142  1.520572-141  2.507867-141  5.474132-141  9.349114-141  1.133660-140  1.500909-140
  1.968661-140  2.893306-140  3.129430-140  3.571794-140  4.393499-140  5.228727-140  6.027243-140  6.238075-140
  7.973282-140  8.601826-140  9.741764-140  1.013349-139  1.160120-139  1.301846-139  1.354272-139  1.474772-139
  1.575002-139  1.789663-139  1.874624-139  1.964659-139  2.099651-139  2.223239-139  2.335005-139  2.506489-139
  2.552947-139  2.822265-139  2.955335-139  2.990389-139  3.214506-139  3.302776-139  3.503944-139  3.540090-139
  3.713370-139  3.914456-139  3.976540-139  4.166293-139  4.234961-139  4.505472-139  4.460159-139  4.634153-139
  4.830550-139  4.992098-139  5.104737-139  5.146168-139  5.331712-139  5.448756-139  5.501248-139  5.630977-139
  5.729840-139  5.967652-139  5.997092-139  6.050015-139  6.247440-139  6.315232-139  6.444931-139  6.387101-139
  6.577037-139  6.784220-139  6.703274-139  6.880391-139  6.851095-139  7.042719-139  6.994736-139  6.986854-139
  7.201916-139  7.154386-139  7.340391-139  7.241106-139  7.368582-139  7.412362-139  7.382247-139  7.457082-139
  7.448205-139  7.603983-139  7.550950-139  7.552808-139  7.481268-139  7.651204-139  7.621429-139  7.536476-139
  7.591619-139  7.604992-139  7.611466-139  7.561577-139  7.553802-139  7.505201-139  7.482305-139  7.403762-139
  7.455428-139  7.454706-139  7.484244-139  7.296252-139  7.316693-139  7.259239-139  7.230495-139  7.199622-139
  7.023906-139  7.186732-139  7.003681-139  6.972299-139  6.913638-139  6.919847-139  6.767982-139  6.674225-139
  6.678425-139  6.592475-139  6.541809-139  6.409097-139  6.416716-139  6.329999-139  6.183604-139  6.116287-139
  6.096357-139  6.014975-139  5.929839-139  5.854547-139  5.751889-139  5.754273-139  5.569694-139  5.519367-139
  5.437400-139  5.413373-139  5.293531-139  5.180932-139  5.179171-139  5.037757-139  4.982291-139  4.863441-139
  4.824913-139  4.774271-139  4.632673-139  4.565487-139  4.514896-139  4.439085-139  4.383728-139  4.251514-139
  4.212590-139  4.150224-139  4.082522-139  3.998586-139  3.949173-139  3.887205-139  3.798044-139  3.726225-139
  3.667074-139  3.611642-139  3.572430-139  3.471085-139  3.440253-139  3.392700-139  3.321235-139  3.254939-139
  3.223401-139  3.202973-139  3.104647-139  3.094834-139  3.019148-139  3.014033-139  2.930891-139  2.920232-139
  2.870271-139  2.824999-139  2.815556-139  2.747935-139  2.723906-139  2.694069-139  2.677364-139  2.615109-139
  2.616401-139  2.588842-139  2.569300-139  2.531876-139  2.509718-139  2.506484-139  2.468099-139  2.458388-139
  2.433878-139  2.423975-139  2.401875-139  2.392588-139  2.374950-139  2.364674-139  2.339236-139  2.348874-139
  2.339220-139  2.324231-139  2.327110-139  2.310819-139  2.312662-139  2.297524-139  2.301780-139  2.296444-139
  2.289444-139  2.293224-139  2.298766-139  2.283224-139  2.291999-139  2.306066-139  2.284521-139  2.305203-139
  2.306997-139  2.320441-139  2.312005-139  2.310914-139  2.318241-139  2.325629-139  2.339525-139  2.330330-139
  2.346007-139  2.363321-139  2.354962-139  2.376157-139  2.375805-139  2.404010-139  2.394947-139  2.411228-139
  2.408450-139  2.440061-139  2.443716-139  2.442317-139  2.462978-139  2.483507-139  2.484031-139  2.479329-139
  2.513308-139  2.520435-139  2.540096-139  2.521423-139  2.560864-139  2.562859-139  2.574209-139  2.591033-139
  2.601243-139  2.619543-139  2.628238-139  2.640045-139  2.659479-139  2.666479-139  2.675408-139  2.682562-139
  2.701957-139  2.713785-139  2.724709-139  2.737227-139  2.760181-139  2.763429-139  2.772306-139  2.781172-139
 -0.865000000000000     
  1.782557-134  5.394190-139  2.192473-138  3.714243-138  7.948415-138  1.358697-137  1.614136-137  2.152334-137
  2.791617-137  4.137396-137  4.478042-137  4.993587-137  6.273396-137  7.402746-137  8.412080-137  8.628509-137
  1.104657-136  1.180947-136  1.332963-136  1.381196-136  1.566026-136  1.756362-136  1.831591-136  1.976065-136
  2.102617-136  2.362781-136  2.470386-136  2.585378-136  2.726152-136  2.870221-136  3.016902-136  3.209930-136
  3.285323-136  3.568298-136  3.725004-136  3.742771-136  4.038196-136  4.078990-136  4.283129-136  4.303819-136
  4.535418-136  4.694314-136  4.740308-136  4.944177-136  4.984300-136  5.263980-136  5.172905-136  5.320281-136
  5.486470-136  5.632753-136  5.717434-136  5.733926-136  5.873188-136  5.972144-136  5.960393-136  6.060644-136
  6.124613-136  6.340775-136  6.266324-136  6.296587-136  6.457015-136  6.449042-136  6.495660-136  6.413734-136
  6.512878-136  6.670639-136  6.529023-136  6.649598-136  6.542845-136  6.660340-136  6.559905-136  6.482005-136
  6.624997-136  6.504570-136  6.599818-136  6.438455-136  6.495420-136  6.477354-136  6.373043-136  6.369486-136
  6.312237-136  6.357560-136  6.253913-136  6.190841-136  6.064069-136  6.141116-136  6.025617-136  5.904619-136
  5.892019-136  5.829268-136  5.767571-136  5.672093-136  5.590535-136  5.513032-136  5.437417-136  5.317146-136
  5.302235-136  5.232858-136  5.204479-136  5.019632-136  4.979766-136  4.888661-136  4.819889-136  4.733370-136
  4.572042-136  4.637446-136  4.468523-136  4.401869-136  4.325240-136  4.279809-136  4.145948-136  4.049777-136
  4.018993-136  3.928011-136  3.860136-136  3.746086-136  3.718224-136  3.653392-136  3.533902-136  3.462941-136
  3.433184-136  3.358806-136  3.289289-136  3.222908-136  3.144634-136  3.133911-136  3.017635-136  2.973124-136
  2.924045-136  2.895271-136  2.818394-136  2.751555-136  2.747773-136  2.669288-136  2.635664-136  2.570763-136
  2.546318-136  2.526263-136  2.456194-136  2.421676-136  2.401848-136  2.367053-136  2.346036-136  2.279101-136
  2.270014-136  2.252912-136  2.224990-136  2.198302-136  2.189470-136  2.165248-136  2.138494-136  2.109425-136
  2.095142-136  2.086045-136  2.087471-136  2.041256-136  2.052602-136  2.042568-136  2.022452-136  2.004163-136
  2.011220-136  2.018342-136  1.985131-136  2.003549-136  1.979153-136  2.000366-136  1.965141-136  1.985125-136
  1.972635-136  1.967590-136  1.984296-136  1.959218-136  1.971009-136  1.962162-136  1.976068-136  1.959444-136
  1.977326-136  1.976221-136  1.979582-136  1.976312-136  1.976022-136  1.992613-136  1.981099-136  1.983670-136
  1.983412-136  1.989708-136  1.989461-136  1.992833-136  1.990446-136  1.995668-136  1.981762-136  2.005175-136
  2.003230-136  1.993876-136  2.005742-136  1.999347-136  2.005406-136  2.000133-136  2.004522-136  1.995945-136
  1.994812-136  1.998509-136  2.001212-136  1.984018-136  1.989969-136  2.000676-136  1.974951-136  1.984694-136
  1.981412-136  1.988629-136  1.973198-136  1.958641-136  1.961924-136  1.948178-136  1.951769-136  1.936062-136
  1.935869-136  1.937416-136  1.914678-136  1.918606-136  1.896546-136  1.910086-136  1.886341-136  1.883822-136
  1.861664-136  1.872085-136  1.855208-136  1.834397-136  1.832178-136  1.830712-136  1.811311-136  1.791834-136
  1.796043-136  1.779289-136  1.776826-136  1.741610-136  1.751977-136  1.727228-136  1.716338-136  1.705974-136
  1.696089-136  1.687456-136  1.673501-136  1.659315-136  1.652951-136  1.635180-136  1.620091-136  1.607075-136
  1.598292-136  1.580304-136  1.569183-136  1.560016-136  1.551636-136  1.533026-136  1.518326-136  1.505677-136
 -0.855000000000000     
  1.363743-131  6.925240-136  3.031257-135  5.213862-135  1.079508-134  1.815390-134  2.142772-134  2.884396-134
  3.717049-134  5.528760-134  5.931666-134  6.599306-134  8.406848-134  9.850439-134  1.107226-133  1.122697-133
  1.444924-133  1.528337-133  1.713310-133  1.768774-133  2.001402-133  2.237911-133  2.318245-133  2.485809-133
  2.629652-133  2.951752-133  3.057009-133  3.196525-133  3.364290-133  3.502308-133  3.675098-133  3.884852-133
  3.964013-133  4.252222-133  4.421648-133  4.416946-133  4.733180-133  4.746102-133  4.941658-133  4.933197-133
  5.201764-133  5.305965-133  5.312149-133  5.523234-133  5.500909-133  5.782618-133  5.633460-133  5.732146-133
  5.877643-133  5.992326-133  6.016288-133  5.997423-133  6.091427-133  6.134780-133  6.071748-133  6.121713-133
  6.143354-133  6.300178-133  6.138019-133  6.126016-133  6.232411-133  6.156315-133  6.147064-133  6.000845-133
  6.036420-133  6.135091-133  5.942581-133  5.992554-133  5.824787-133  5.887760-133  5.735892-133  5.611934-133
  5.690596-133  5.512665-133  5.527212-133  5.346407-133  5.340187-133  5.281366-133  5.125594-133  5.072449-133
  4.980831-133  4.954428-133  4.824943-133  4.736943-133  4.590634-133  4.597811-133  4.462134-133  4.325997-133
  4.283210-133  4.190781-133  4.109603-133  3.996717-133  3.905668-133  3.819219-133  3.733997-133  3.620514-133
  3.573845-133  3.498556-133  3.459166-133  3.304772-133  3.258796-133  3.175162-133  3.116478-133  3.038541-133
  2.916035-133  2.945411-133  2.819359-133  2.765204-133  2.707776-133  2.670553-133  2.581859-133  2.516137-133
  2.494570-133  2.433675-133  2.393522-133  2.318580-133  2.307547-133  2.283139-133  2.210847-133  2.165921-133
  2.162985-133  2.123068-133  2.085766-133  2.054178-133  2.021438-133  2.029196-133  1.966680-133  1.954796-133
  1.943704-133  1.937861-133  1.906494-133  1.876560-133  1.898703-133  1.859403-133  1.855135-133  1.832674-133
  1.833441-133  1.841319-133  1.813785-133  1.806139-133  1.812929-133  1.807039-133  1.809729-133  1.774711-133
  1.791752-133  1.793885-133  1.788538-133  1.788501-133  1.795539-133  1.792154-133  1.787034-133  1.776367-133
  1.778923-133  1.782865-133  1.799666-133  1.765526-133  1.787334-133  1.791473-133  1.779628-133  1.774206-133
  1.783314-133  1.795229-133  1.772482-133  1.786356-133  1.773498-133  1.792144-133  1.759294-133  1.780301-133
  1.768871-133  1.762985-133  1.774113-133  1.749147-133  1.753692-133  1.743948-133  1.750864-133  1.727043-133
  1.736012-133  1.726226-133  1.721070-133  1.712982-133  1.702874-133  1.698491-133  1.682933-133  1.667936-133
  1.661646-133  1.658094-133  1.643608-133  1.634437-133  1.619497-133  1.612262-133  1.581524-133  1.589066-133
  1.574172-133  1.550708-133  1.548166-133  1.524661-133  1.518877-133  1.501539-133  1.487564-133  1.461220-133
  1.448215-133  1.437038-133  1.419350-133  1.392723-133  1.381972-133  1.374059-133  1.340248-133  1.331149-133
  1.313469-133  1.300747-133  1.277809-133  1.251281-133  1.239833-133  1.214473-133  1.201746-133  1.177308-133
  1.160984-133  1.149165-133  1.119925-133  1.107683-133  1.081006-133  1.074839-133  1.046739-133  1.030125-133
  1.004828-133  9.973823-134  9.740810-134  9.505563-134  9.353968-134  9.217015-134  8.990262-134  8.784886-134
  8.684135-134  8.468302-134  8.349610-134  8.051707-134  7.978233-134  7.748367-134  7.591029-134  7.430001-134
  7.281272-134  7.141155-134  6.966649-134  6.791409-134  6.673897-134  6.500983-134  6.343676-134  6.196637-134
  6.073172-134  5.899108-134  5.768832-134  5.659264-134  5.530357-134  5.383321-134  5.245703-134  5.123330-134
 -0.845000000000000     
  9.810499-129  7.243336-133  3.428968-132  5.838707-132  1.194086-131  1.959896-131  2.350919-131  3.137989-131
  4.032315-131  5.995610-131  6.380896-131  7.132276-131  9.097168-131  1.062600-130  1.185622-130  1.191292-130
  1.539270-130  1.614444-130  1.798372-130  1.846556-130  2.085951-130  2.323001-130  2.384285-130  2.550873-130
  2.689487-130  3.007538-130  3.086553-130  3.219791-130  3.389461-130  3.489639-130  3.644624-130  3.830445-130
  3.887454-130  4.137253-130  4.274897-130  4.247013-130  4.509007-130  4.506269-130  4.658778-130  4.614991-130
  4.850900-130  4.897886-130  4.857867-130  5.026395-130  4.951762-130  5.177163-130  5.004041-130  5.044492-130
  5.152330-130  5.207531-130  5.179273-130  5.119438-130  5.164708-130  5.149788-130  5.053683-130  5.054661-130
  5.034398-130  5.108463-130  4.927501-130  4.880263-130  4.927552-130  4.814131-130  4.775885-130  4.601442-130
  4.601043-130  4.633475-130  4.443745-130  4.438537-130  4.271143-130  4.287524-130  4.133757-130  4.012356-130
  4.037517-130  3.864752-130  3.837966-130  3.691857-130  3.649019-130  3.583691-130  3.440902-130  3.383211-130
  3.294451-130  3.246138-130  3.142385-130  3.062127-130  2.947605-130  2.928521-130  2.826948-130  2.722537-130
  2.680843-130  2.610992-130  2.550648-130  2.462879-130  2.404280-130  2.338337-130  2.281475-130  2.208758-130
  2.175792-130  2.128414-130  2.104919-130  2.010455-130  1.986127-130  1.937679-130  1.911569-130  1.866240-130
  1.797972-130  1.821990-130  1.750917-130  1.728208-130  1.703397-130  1.691445-130  1.650741-130  1.618838-130
  1.618785-130  1.589774-130  1.580077-130  1.543837-130  1.552693-130  1.553063-130  1.519159-130  1.501864-130
  1.515139-130  1.502315-130  1.486573-130  1.481040-130  1.473482-130  1.491942-130  1.459433-130  1.463726-130
  1.468740-130  1.474466-130  1.463577-130  1.448831-130  1.478116-130  1.453317-130  1.457241-130  1.448900-130
