 -0.885000000000000     
  4.037218-184  1.432857-188  4.117950-188  7.683383-188  1.583998-187  2.451299-187  3.154022-187  4.125588-187
  5.344564-187  8.274505-187  8.475550-187  1.006273-186  1.228495-186  1.463666-186  1.682107-186  1.722715-186
  2.194843-186  2.430072-186  2.643206-186  2.727401-186  3.164934-186  3.619117-186  3.653902-186  4.031468-186
  4.264566-186  4.807611-186  5.129436-186  5.303556-186  5.740533-186  6.105965-186  6.246254-186  6.736729-186
  6.945555-186  7.509682-186  7.845969-186  8.038210-186  8.693226-186  8.826432-186  9.268897-186  9.435567-186
  1.015551-185  1.050055-185  1.062864-185  1.110327-185  1.139776-185  1.202175-185  1.201308-185  1.250379-185
  1.294066-185  1.338043-185  1.367875-185  1.390854-185  1.438810-185  1.475052-185  1.498685-185  1.531559-185
  1.563976-185  1.610076-185  1.610186-185  1.647099-185  1.710603-185  1.713680-185  1.757243-185  1.743094-185
  1.803947-185  1.873203-185  1.844411-185  1.901789-185  1.886697-185  1.963714-185  1.941788-185  1.958290-185
  2.002278-185  1.996997-185  2.066323-185  2.029616-185  2.074474-185  2.104027-185  2.091535-185  2.123756-185
  2.120437-185  2.171762-185  2.156076-185  2.169605-185  2.172543-185  2.204358-185  2.209649-185  2.186055-185
  2.209464-185  2.221073-185  2.238848-185  2.221102-185  2.248120-185  2.230300-185  2.234121-185  2.229737-185
  2.233206-185  2.242111-185  2.268000-185  2.221886-185  2.240979-185  2.232727-185  2.227649-185  2.238992-185
  2.175916-185  2.245987-185  2.197764-185  2.192023-185  2.187030-185  2.194429-185  2.167133-185  2.136838-185
  2.150864-185  2.134942-185  2.134268-185  2.104304-185  2.114792-185  2.099221-185  2.062138-185  2.046959-185
  2.056055-185  2.035330-185  2.009055-185  1.997199-185  1.973879-185  1.981420-185  1.938935-185  1.929616-185
  1.909582-185  1.911111-185  1.888218-185  1.846245-185  1.856263-185  1.814392-185  1.808851-185  1.773645-185
  1.773568-185  1.760255-185  1.722442-185  1.698223-185  1.689977-185  1.672663-185  1.659855-185  1.613858-185
  1.608118-185  1.592345-185  1.569112-185  1.550286-185  1.527706-185  1.514265-185  1.490447-185  1.461153-185
  1.442149-185  1.431774-185  1.416990-185  1.379296-185  1.374090-185  1.356861-185  1.328466-185  1.308748-185
  1.295115-185  1.286430-185  1.249089-185  1.239190-185  1.211388-185  1.209182-185  1.170627-185  1.164047-185
  1.141988-185  1.121441-185  1.118595-185  1.086067-185  1.072087-185  1.054693-185  1.042604-185  1.015195-185
  1.005004-185  9.873680-186  9.733177-186  9.523113-186  9.368846-186  9.238593-186  9.015968-186  8.921111-186
  8.738094-186  8.617196-186  8.426971-186  8.278298-186  8.142442-186  7.956410-186  7.765824-186  7.709963-186
  7.535937-186  7.383414-186  7.274686-186  7.107342-186  7.034200-186  6.842239-186  6.734286-186  6.574470-186
  6.445646-186  6.342975-186  6.226021-186  6.067813-186  5.948983-186  5.877641-186  5.695194-186  5.622285-186
  5.497633-186  5.409556-186  5.281606-186  5.145551-186  5.064261-186  4.962966-186  4.868688-186  4.733310-186
  4.652703-186  4.588556-186  4.451430-186  4.377677-186  4.283012-186  4.207705-186  4.094289-186  4.013568-186
  3.914221-186  3.869912-186  3.775118-186  3.679413-186  3.620097-186  3.540401-186  3.464014-186  3.375210-186
  3.339577-186  3.255469-186  3.204768-186  3.101252-186  3.064105-186  2.988508-186  2.933618-186  2.881301-186
  2.823555-186  2.773647-186  2.715862-186  2.658080-186  2.617066-186  2.564074-186  2.515144-186  2.463003-186
  2.432152-186  2.387998-186  2.342572-186  2.301855-186  2.273039-186  2.230548-186  2.194093-186  2.153169-186
 -0.875000000000000     
  2.639950-177  9.044202-182  2.555905-181  4.843063-181  9.857414-181  1.535601-180  1.983543-180  2.589006-180
  3.364279-180  5.193137-180  5.334898-180  6.318826-180  7.728255-180  9.202988-180  1.058744-179  1.083144-179
  1.383116-179  1.533151-179  1.668568-179  1.720519-179  1.997234-179  2.282923-179  2.302275-179  2.544240-179
  2.689728-179  3.031011-179  3.239592-179  3.351264-179  3.620315-179  3.855836-179  3.942577-179  4.255665-179
