 -0.885000000000000     
  0.000000E+00  1.433565-101  3.376341-101  6.244888-101  1.475565-100  2.241929-100  2.934114-100  3.654713-100
  5.025381-100  7.909993-100  7.884349-100  9.764832-100  1.176941E-99  6.611599-100  1.687202E-99  1.760624E-99
  2.335436E-99  2.555742E-99  2.818757E-99  3.012153E-99  3.415354E-99  3.974339E-99  4.138407E-99  4.638739E-99
  4.888954E-99  5.616046E-99  6.251774E-99  6.466238E-99  7.173993E-99  7.657088E-99  8.149681E-99  8.818601E-99
  9.304708E-99  1.011950E-98  1.096218E-98  1.121650E-98  1.225871E-98  1.285551E-98  1.375684E-98  1.424665E-98
  1.550597E-98  1.625780E-98  1.696624E-98  1.773857E-98  1.844557E-98  2.025492E-98  2.050232E-98  2.215982E-98
  2.324473E-98  2.449104E-98  2.541887E-98  2.634404E-98  2.775886E-98  2.927925E-98  3.025864E-98  3.146448E-98
  3.286142E-98  3.481183E-98  3.525789E-98  3.723670E-98  3.892951E-98  4.038729E-98  4.239152E-98  4.265927E-98
  4.485213E-98  4.803659E-98  4.806643E-98  5.076371E-98  5.152726E-98  5.495146E-98  5.581740E-98  5.718108E-98
  6.017786E-98  6.097920E-98  6.434765E-98  6.544574E-98  6.791812E-98  7.096633E-98  7.179806E-98  7.455096E-98
  7.649114E-98  7.990338E-98  8.131849E-98  8.379203E-98  8.557897E-98  8.880635E-98  9.173352E-98  9.286615E-98
  9.687820E-98  9.937506E-98  1.019281E-97  1.036368E-97  1.070265E-97  1.096687E-97  1.118308E-97  1.144118E-97
  1.174846E-97  1.211489E-97  1.249609E-97  1.260467E-97  1.292046E-97  1.336979E-97  1.359270E-97  1.385967E-97
  1.385855E-97  1.464223E-97  1.470390E-97  1.510290E-97  1.549604E-97  1.585227E-97  1.603253E-97  1.621822E-97
  1.667038E-97  1.703925E-97  1.742379E-97  1.755923E-97  1.825936E-97  1.857843E-97  1.854604E-97  1.899026E-97
  1.947579E-97  1.985784E-97  2.007022E-97  2.048701E-97  2.070069E-97  2.124651E-97  2.142821E-97  2.170839E-97
  2.211495E-97  2.266934E-97  2.300407E-97  2.301163E-97  2.371968E-97  2.371251E-97  2.423170E-97  2.438002E-97
  2.497494E-97  2.543563E-97  2.549432E-97  2.565821E-97  2.617788E-97  2.666690E-97  2.726360E-97  2.688296E-97
  2.752796E-97  2.796984E-97  2.813924E-97  2.831982E-97  2.873264E-97  2.909433E-97  2.924175E-97  2.946121E-97
  2.987992E-97  3.022359E-97  3.049158E-97  3.044100E-97  3.103705E-97  3.114765E-97  3.127507E-97  3.143327E-97
  3.186169E-97  3.231210E-97  3.195325E-97  3.245467E-97  3.230755E-97  3.292466E-97  3.247046E-97  3.300088E-97
  3.296349E-97  3.312083E-97  3.357770E-97  3.325704E-97  3.337737E-97  3.348757E-97  3.374498E-97  3.360336E-97
  3.382271E-97  3.379400E-97  3.404796E-97  3.382441E-97  3.392696E-97  3.411356E-97  3.389050E-97  3.412564E-97
  3.393224E-97  3.419871E-97  3.407100E-97  3.385690E-97  3.414164E-97  3.379312E-97  3.344157E-97  3.364336E-97
  3.356993E-97  3.349300E-97  3.347376E-97  3.329102E-97  3.334282E-97  3.320581E-97  3.312388E-97  3.279784E-97
  3.271718E-97  3.263657E-97  3.246022E-97  3.225520E-97  3.206377E-97  3.207128E-97  3.148822E-97  3.152841E-97
  3.143011E-97  3.124233E-97  3.103509E-97  3.060144E-97  3.039768E-97  3.023430E-97  3.004082E-97  2.958761E-97
  2.950800E-97  2.918752E-97  2.883797E-97  2.861467E-97  2.827712E-97  2.826026E-97  2.767837E-97  2.747442E-97
  2.715824E-97  2.708643E-97  2.667952E-97  2.620231E-97  2.605337E-97  2.571088E-97  2.539219E-97  2.491649E-97
  2.483011E-97  2.443609E-97  2.415726E-97  2.358211E-97  2.341968E-97  2.295411E-97  2.261797E-97  2.238672E-97
  2.195353E-97  2.167888E-97  2.136311E-97  2.091893E-97  2.064514E-97  2.033743E-97  1.995598E-97  1.953519E-97
