 -0.885000000000000     
  0.000000E+00 -8.516877-101 -4.327017-101  2.746542-100  7.563043-100  5.615203-100  1.585824E-99  1.706970E-99
  1.869838E-99  3.871427E-99  4.168052E-99  6.686534E-99  7.354833E-99  5.059822E-99  1.343747E-98  1.477433E-98
  2.132257E-98  2.524613E-98  3.010697E-98  3.371737E-98  3.807448E-98  4.622499E-98  5.235709E-98  5.954250E-98
  6.418007E-98  7.495258E-98  8.828445E-98  9.284797E-98  1.075262E-97  1.156289E-97  1.288976E-97  1.377618E-97
  1.523498E-97  1.695288E-97  1.870158E-97  1.940412E-97  2.149654E-97  2.295445E-97  2.505828E-97  2.655286E-97
  2.925676E-97  3.102963E-97  3.292349E-97  3.436640E-97  3.664364E-97  4.075317E-97  4.180983E-97  4.604040E-97
  4.874551E-97  5.183631E-97  5.427141E-97  5.686697E-97  6.046807E-97  6.475331E-97  6.717339E-97  7.042743E-97
  7.422452E-97  7.915269E-97  8.092190E-97  8.609494E-97  9.047035E-97  9.487575E-97  1.000982E-96  1.012090E-96
  1.067881E-96  1.153882E-96  1.161856E-96  1.232339E-96  1.261277E-96  1.347867E-96  1.377664E-96  1.414635E-96
  1.497378E-96  1.523018E-96  1.611925E-96  1.648758E-96  1.715550E-96  1.801575E-96  1.828087E-96  1.904403E-96
  1.960811E-96  2.054185E-96  2.096644E-96  2.167394E-96  2.217175E-96  2.306956E-96  2.391685E-96  2.425557E-96
  2.538534E-96  2.608912E-96  2.680658E-96  2.731914E-96  2.827313E-96  2.902592E-96  2.964546E-96  3.038416E-96
  3.124043E-96  3.227007E-96  3.334884E-96  3.369599E-96  3.457918E-96  3.585359E-96  3.648693E-96  3.723889E-96
  3.728659E-96  3.944347E-96  3.965093E-96  4.077768E-96  4.189882E-96  4.288591E-96  4.341555E-96  4.396595E-96
  4.523027E-96  4.626598E-96  4.735560E-96  4.776003E-96  4.970873E-96  5.061326E-96  5.055678E-96  5.180315E-96
  5.316226E-96  5.424149E-96  5.485223E-96  5.602592E-96  5.663715E-96  5.815936E-96  5.869147E-96  5.948562E-96
  6.063050E-96  6.217198E-96  6.312299E-96  6.316501E-96  6.513510E-96  6.513908E-96  6.659145E-96  6.702452E-96
  6.868224E-96  6.996889E-96  7.015135E-96  7.062099E-96  7.207093E-96  7.344138E-96  7.510534E-96  7.406937E-96
  7.586607E-96  7.710228E-96  7.758402E-96  7.809630E-96  7.925099E-96  8.026355E-96  8.068444E-96  8.130544E-96
  8.247536E-96  8.343653E-96  8.418731E-96  8.406098E-96  8.571954E-96  8.603352E-96  8.639717E-96  8.684371E-96
  8.803791E-96  8.929082E-96  8.830857E-96  8.970354E-96  8.930496E-96  9.102063E-96  8.977162E-96  9.124498E-96
  9.114860E-96  9.159102E-96  9.286092E-96  9.198081E-96  9.231920E-96  9.262933E-96  9.334805E-96  9.296112E-96
  9.357331E-96  9.349835E-96  9.420560E-96  9.359125E-96  9.387953E-96  9.440011E-96  9.378631E-96  9.444082E-96
  9.390879E-96  9.464923E-96  9.429875E-96  9.370806E-96  9.449909E-96  9.353580E-96  9.256374E-96  9.312395E-96
  9.292176E-96  9.270930E-96  9.265544E-96  9.214964E-96  9.229117E-96  9.191025E-96  9.168119E-96  9.077461E-96
  9.054708E-96  9.031778E-96  8.982196E-96  8.924792E-96  8.870537E-96  8.871480E-96  8.708394E-96  8.717725E-96
  8.688536E-96  8.634622E-96  8.574448E-96  8.451519E-96  8.391292E-96  8.341903E-96  8.284794E-96  8.154541E-96
  8.126292E-96  8.031219E-96  7.927659E-96  7.859362E-96  7.755786E-96  7.743544E-96  7.573070E-96  7.505323E-96
  7.407657E-96  7.374451E-96  7.248074E-96  7.105592E-96  7.046833E-96  6.937700E-96  6.832975E-96  6.681631E-96
  6.641524E-96  6.512519E-96  6.413311E-96  6.235783E-96  6.164670E-96  6.016187E-96  5.897767E-96  5.810543E-96
  5.663646E-96  5.553913E-96  5.438729E-96  5.289412E-96  5.185578E-96  5.064124E-96  4.926758E-96  4.789716E-96
  4.670228E-96  4.515077E-96  4.386471E-96  4.254411E-96  4.137353E-96  4.003799E-96  3.857534E-96  3.697401E-96
 -0.875000000000000     
  0.000000E+00 -1.288890E-97 -1.013876E-97  3.064209E-97  1.030276E-96  5.902056E-97  1.992567E-96  2.060806E-96
  2.009407E-96  4.719057E-96  4.632753E-96  7.900201E-96  3.096521E-96  1.054352E-95  1.563212E-95  1.705512E-95
  2.508319E-95  2.946649E-95  3.514079E-95  3.978715E-95  4.508475E-95  5.383571E-95  6.211120E-95  7.098945E-95
  7.515801E-95  8.705487E-95  1.036533E-94  1.095860E-94  1.269567E-94  1.362867E-94  1.521697E-94  1.618325E-94
  1.798060E-94  1.992182E-94  2.205961E-94  2.286096E-94  2.540985E-94  2.709520E-94  2.954904E-94  3.131661E-94
  3.466056E-94  3.658794E-94  3.873482E-94  4.046556E-94  4.326829E-94  4.815125E-94  4.926860E-94  5.427912E-94
  5.750166E-94  6.120002E-94  6.401998E-94  6.710272E-94  7.118049E-94  7.625601E-94  7.912095E-94  8.288179E-94
  8.751252E-94  9.291809E-94  9.514012E-94  1.011144E-93  1.064813E-93  1.114181E-93  1.174980E-93  1.187932E-93
  1.249963E-93  1.354389E-93  1.363820E-93  1.442559E-93  1.479503E-93  1.577861E-93  1.609860E-93  1.652980E-93
  1.748110E-93  1.778418E-93  1.885580E-93  1.922445E-93  2.003050E-93  2.096219E-93  2.125939E-93  2.215513E-93
  2.281281E-93  2.389492E-93  2.436575E-93  2.518774E-93  2.571715E-93  2.676702E-93  2.773664E-93  2.805318E-93
  2.937529E-93  3.019915E-93  3.096248E-93  3.155754E-93  3.268053E-93  3.348042E-93  3.420236E-93  3.500505E-93
  3.598122E-93  3.713962E-93  3.834711E-93  3.869948E-93  3.969898E-93  4.116900E-93  4.183279E-93  4.273070E-93
  4.270633E-93  4.519191E-93  4.532835E-93  4.663011E-93  4.784165E-93  4.892073E-93  4.950890E-93  5.007823E-93
  5.155245E-93  5.259794E-93  5.380169E-93  5.423252E-93  5.641322E-93  5.743396E-93  5.731494E-93  5.868278E-93
  6.016702E-93  6.132091E-93  6.198849E-93  6.325795E-93  6.398328E-93  6.565112E-93  6.615029E-93  6.705331E-93
  6.820307E-93  6.985411E-93  7.099488E-93  7.098440E-93  7.311236E-93  7.310741E-93  7.468669E-93  7.511901E-93
  7.691985E-93  7.832074E-93  7.845906E-93  7.898258E-93  8.046553E-93  8.205015E-93  8.380613E-93  8.259605E-93
  8.459251E-93  8.596357E-93  8.648420E-93  8.704025E-93  8.822677E-93  8.937473E-93  8.976180E-93  9.045952E-93
  9.170465E-93  9.283476E-93  9.363006E-93  9.346583E-93  9.533003E-93  9.570055E-93  9.613736E-93  9.662775E-93
  9.796300E-93  9.939558E-93  9.834960E-93  9.996536E-93  9.953309E-93  1.014930E-92  1.001539E-92  1.018349E-92
  1.017958E-92  1.023087E-92  1.037508E-92  1.028872E-92  1.032960E-92  1.037315E-92  1.046166E-92  1.041867E-92
  1.049296E-92  1.049909E-92  1.057588E-92  1.051304E-92  1.055020E-92  1.061522E-92  1.055253E-92  1.063287E-92
  1.058634E-92  1.067065E-92  1.063440E-92  1.057612E-92  1.066721E-92  1.056726E-92  1.046774E-92  1.053535E-92
  1.051425E-92  1.049372E-92  1.049579E-92  1.044303E-92  1.046402E-92  1.042305E-92  1.040317E-92  1.030309E-92
  1.028015E-92  1.026000E-92  1.020672E-92  1.014432E-92  1.008826E-92  1.009408E-92  9.909591E-93  9.922139E-93
  9.892732E-93  9.835201E-93  9.767679E-93  9.630143E-93  9.562525E-93  9.508963E-93  9.444502E-93  9.297003E-93
  9.263986E-93  9.157112E-93  9.038369E-93  8.963079E-93  8.843513E-93  8.830313E-93  8.634701E-93  8.558171E-93
  8.444936E-93  8.405363E-93  8.260535E-93  8.096003E-93  8.027298E-93  7.901509E-93  7.780676E-93  7.606064E-93
  7.557155E-93  7.408175E-93  7.293608E-93  7.089015E-93  7.005145E-93  6.833743E-93  6.696012E-93  6.593864E-93
  6.423618E-93  6.295537E-93  6.161630E-93  5.988672E-93  5.867535E-93  5.726250E-93  5.567675E-93  5.408968E-93
  5.270067E-93  5.091028E-93  4.942197E-93  4.789504E-93  4.654180E-93  4.500198E-93  4.332071E-93  4.148403E-93
 -0.865000000000000     
  0.000000E+00 -9.162716E-95 -8.308920E-95  1.874242E-94  7.031060E-94  3.652262E-94  1.334628E-93  1.359163E-93
  1.238541E-93  3.125303E-93  2.884261E-93  2.477864E-93  4.044002E-93  8.047053E-93  9.990157E-93  1.079506E-92
  1.604273E-92  1.873364E-92  2.227049E-92  2.546563E-92  2.890714E-92  3.407034E-92  3.981502E-92  4.562843E-92
  4.769110E-92  5.502330E-92  6.569591E-92  6.978005E-92  8.077076E-92  8.657943E-92  9.664629E-92  1.025895E-91
  1.141295E-91  1.260148E-91  1.398598E-91  1.448780E-91  1.611895E-91  1.716189E-91  1.871121E-91  1.982454E-91
  2.198229E-91  2.313047E-91  2.443635E-91  2.554724E-91  2.736311E-91  3.043096E-91  3.106891E-91  3.419874E-91
  3.626190E-91  3.859590E-91  4.033520E-91  4.228375E-91  4.472202E-91  4.788990E-91  4.969766E-91  5.201909E-91
  5.494116E-91  5.818553E-91  5.961843E-91  6.329653E-91  6.672718E-91  6.962712E-91  7.339391E-91  7.421455E-91
  7.794295E-91  8.450449E-91  8.512835E-91  8.975933E-91  9.220663E-91  9.816010E-91  1.000136E-90  1.026537E-90
  1.084217E-90  1.103442E-90  1.171212E-90  1.190712E-90  1.241335E-90  1.295601E-90  1.312937E-90  1.368654E-90
  1.409063E-90  1.475269E-90  1.502953E-90  1.553212E-90  1.583730E-90  1.648555E-90  1.707134E-90  1.722943E-90
  1.803857E-90  1.855225E-90  1.898585E-90  1.935222E-90  2.004607E-90  2.050279E-90  2.094902E-90  2.141491E-90
  2.200612E-90  2.270359E-90  2.342289E-90  2.361059E-90  2.421881E-90  2.511336E-90  2.548978E-90  2.605529E-90
  2.600775E-90  2.752704E-90  2.756278E-90  2.836021E-90  2.906745E-90  2.970393E-90  3.005595E-90  3.037711E-90
  3.129619E-90  3.186970E-90  3.258527E-90  3.283238E-90  3.414570E-90  3.476395E-90  3.467271E-90  3.548166E-90
  3.636338E-90  3.704202E-90  3.743860E-90  3.818528E-90  3.865043E-90  3.964994E-90  3.990458E-90  4.047294E-90
  4.110376E-90  4.207481E-90  4.280845E-90  4.278827E-90  4.404624E-90  4.405428E-90  4.500050E-90  4.524368E-90
  4.632069E-90  4.716552E-90  4.723454E-90  4.757070E-90  4.841690E-90  4.941070E-90  5.043567E-90  4.970839E-90
  5.092539E-90  5.177404E-90  5.209533E-90  5.245083E-90  5.313231E-90  5.386211E-90  5.407758E-90  5.451923E-90
  5.526934E-90  5.600114E-90  5.648868E-90  5.639895E-90  5.754730E-90  5.781581E-90  5.810778E-90  5.842569E-90
  5.925819E-90  6.016662E-90  5.957982E-90  6.060442E-90  6.037631E-90  6.160208E-90  6.084175E-90  6.190546E-90
  6.194029E-90  6.228136E-90  6.319540E-90  6.274817E-90  6.303986E-90  6.336805E-90  6.397329E-90  6.373312E-90
  6.424145E-90  6.437549E-90  6.485183E-90  6.452786E-90  6.480213E-90  6.525702E-90  6.492867E-90  6.548063E-90
  6.528689E-90  6.583507E-90  6.564987E-90  6.536073E-90  6.595347E-90  6.540595E-90  6.486734E-90  6.533097E-90
  6.523266E-90  6.515027E-90  6.523209E-90  6.494736E-90  6.512905E-90  6.490714E-90  6.483592E-90  6.425025E-90
  6.414850E-90  6.407412E-90  6.377963E-90  6.342851E-90  6.312878E-90  6.320962E-90  6.207840E-90  6.219199E-90
  6.204402E-90  6.172769E-90  6.132637E-90  6.049690E-90  6.009431E-90  5.978969E-90  5.940792E-90  5.849713E-90
  5.830744E-90  5.765957E-90  5.692595E-90  5.647661E-90  5.573371E-90  5.566888E-90  5.444852E-90  5.398030E-90
  5.326743E-90  5.302183E-90  5.211793E-90  5.107698E-90  5.064946E-90  4.985773E-90  4.909685E-90  4.799249E-90
  4.767543E-90  4.673357E-90  4.600744E-90  4.471129E-90  4.417269E-90  4.308312E-90  4.220350E-90  4.154863E-90
  4.046245E-90  3.963962E-90  3.878317E-90  3.767458E-90  3.689489E-90  3.598836E-90  3.497575E-90  3.395718E-90
